sample_id,reference,surface_area_before,surface_area_after,pore_volume_before,pore_volume_after,amine_type,molecular_weight,nitrogen_atom_content,primary_amine_proportion,secondary_amine_proportion,tertiary_amine_proportion,amine_loading,temperature,co2_partial_pressure,relative_humidity,co2_adsorbed_amount
S19_004,S19,816.0,10.0,0.76,0.06,PEI (branched),1800.0,0.3256,0.364,0.273,0.364,0.41,30.0,400.0,0.0,0.92
S19_005,S19,816.0,4.4,0.76,0.02,PEI (branched),1800.0,0.3256,0.364,0.273,0.364,0.48,30.0,400.0,0.0,1.1
S19_006,S19,816.0,253.0,0.76,0.48,PPG,100.0,0.4197,0.333,0.333,0.333,0.2,30.0,400.0,0.0,0.07
S19_007,S19,816.0,205.0,0.76,0.37,PPG,100.0,0.4197,0.333,0.333,0.333,0.28,30.0,400.0,0.0,0.27
S19_008,S19,816.0,81.0,0.76,0.2,PPG,100.0,0.4197,0.333,0.333,0.333,0.38,30.0,400.0,0.0,0.51
S19_009,S19,816.0,40.0,0.76,0.12,PPG,100.0,0.4197,0.333,0.333,0.333,0.41,30.0,400.0,0.0,0.57
S19_010,S19,816.0,16.0,0.76,0.07,PPG,100.0,0.4197,0.333,0.333,0.333,0.5,30.0,400.0,0.0,0.62
S20_001,S20,350.0,232.0,0.99,0.6,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.16,25.0,400.0,0.0,1.0
S20_002,S20,350.0,126.0,0.99,0.36,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.27,25.0,400.0,0.0,1.65
S20_003,S20,350.0,58.0,0.99,0.18,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.4,25.0,400.0,0.0,2.18
S20_004,S20,350.0,2.0,0.99,0.01,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.47,25.0,400.0,0.0,2.02
S20_005,S20,350.0,0.0,0.99,0.0,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.49,25.0,400.0,0.0,1.95
S21_001,S21,692.0,458.0,1.03,0.82,DT,265.4,0.1584,0.333,0.666,0.0,0.15,45.0,400.0,0.0,0.3
S21_002,S21,692.0,235.0,1.03,0.44,DT,265.4,0.1584,0.333,0.666,0.0,0.398,45.0,400.0,0.0,0.38
S21_003,S21,692.0,166.0,1.03,0.3,DT,265.4,0.1584,0.333,0.666,0.0,0.451,45.0,400.0,0.0,0.63
S21_004,S21,692.0,81.0,1.03,0.15,DT,265.4,0.1584,0.333,0.666,0.0,0.504,45.0,400.0,0.0,0.64
S21_005,S21,692.0,16.0,1.03,0.03,DT,265.4,0.1584,0.333,0.666,0.0,0.531,45.0,400.0,0.0,0.54
S22_001,S22,683.0,242.0,1.19,0.639,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.308,25.0,400.0,0.0,0.19
S22_002,S22,661.0,255.0,1.28,0.649,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.344,25.0,400.0,0.0,0.29
S22_003,S22,628.0,268.0,1.19,0.743,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.331,25.0,400.0,0.0,0.22
S22_004,S22,740.0,250.0,1.26,0.69,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.327,25.0,400.0,0.0,0.32
S22_005,S22,757.0,216.0,1.31,0.577,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.321,25.0,400.0,0.0,0.61
S22_006,S22,758.0,209.0,1.41,0.664,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.318,25.0,400.0,0.0,0.64
S22_007,S22,771.0,62.7,1.67,0.694,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.325,25.0,400.0,0.0,0.5
S22_008,S22,642.0,205.0,1.08,0.46,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.33,25.0,400.0,0.0,0.64
S22_009,S22,647.0,230.0,1.23,0.613,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.347,25.0,400.0,0.0,0.85
S22_010,S22,601.0,101.0,0.692,0.179,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.331,25.0,400.0,0.0,0.83
S22_011,S22,510.0,10.0,0.395,0.01,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.345,25.0,400.0,0.0,0.26
S22_012,S22,786.0,225.0,1.32,0.634,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.327,25.0,400.0,0.0,0.68
S22_013,S22,773.0,217.0,1.28,0.584,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.328,25.0,400.0,0.0,0.67
